iter	Logloss
0	0.6800600473
1	0.6626257863
2	0.651381725
3	0.6331564524
4	0.6277102866
5	0.6262856235
6	0.612577442
7	0.6114602007
8	0.6063508491
9	0.6054375611
10	0.5999615011
11	0.5952890854
12	0.5928553595
13	0.5875035375
14	0.5762315125
15	0.572566207
16	0.5698302847
17	0.5637083636
18	0.5584358049
19	0.5526242214
20	0.5503167025
21	0.5492993629
22	0.5438201065
23	0.5380183304
24	0.533697451
25	0.5305364952
26	0.530441359
27	0.5281758933
28	0.5247131534
29	0.5242397494
30	0.523268503
31	0.5178547603
32	0.5178088496
33	0.515808211
34	0.5136505487
35	0.5123356966
36	0.5107410795
37	0.5097381308
38	0.5089894754
39	0.5072097474
40	0.5067166868
41	0.5047363149
42	0.5033397589
43	0.5033289386
44	0.5019643133
45	0.4998072935
46	0.4968150999
47	0.4951751643
48	0.4939157315
49	0.4918927279
50	0.4895351715
51	0.4884869375
52	0.4882029883
53	0.487971272
54	0.4879589579
55	0.4878458833
56	0.4871440106
57	0.4859971202
58	0.4859961682
59	0.4855558763
60	0.4849539286
61	0.4845162432
62	0.4834606347
63	0.4825324098
64	0.481405823
65	0.4806335751
66	0.4806333495
67	0.4796187131
68	0.4794753713
69	0.4791350374
70	0.4789805282
71	0.4788829269
72	0.4788828895
73	0.4784886938
74	0.477414158
75	0.4774141396
76	0.4761078946
77	0.4758939662
78	0.4754309114
79	0.4754089197
80	0.4745869268
81	0.4745735165
82	0.4745735143
83	0.4742623311
84	0.4742623311
85	0.4739786227
86	0.4733072834
87	0.4732550574
88	0.4728663585
89	0.4728050209
90	0.4724488331
91	0.4724488311
92	0.4722170895
93	0.4720787381
94	0.4719941711
95	0.4719941701
96	0.4719941682
97	0.4717509473
98	0.4716790459
99	0.4715894283
100	0.4714948127
101	0.4714948074
102	0.4707255012
103	0.470601575
104	0.470274037
105	0.469658455
106	0.469512472
107	0.4690287137
108	0.4690286874
109	0.4690246176
110	0.469024611
111	0.4690245965
112	0.4690041948
113	0.46880859
114	0.4688085894
115	0.4687159138
116	0.4686184266
117	0.4686184222
118	0.46861841
119	0.4686086864
120	0.4680515302
121	0.467936769
122	0.4679367637
123	0.4679367448
124	0.4676069713
125	0.4672825622
126	0.467238038
127	0.4668635217
128	0.4668635053
129	0.4668635001
130	0.4668634994
131	0.4668634909
132	0.4667699742
133	0.4667623785
134	0.4667623704
135	0.4667623628
136	0.4665600036
137	0.4663056516
138	0.4663056428
139	0.4663056395
140	0.4660064541
141	0.466006446
142	0.4657201564
143	0.465492022
144	0.4648190216
145	0.4648189904
146	0.4647501693
147	0.464668274
148	0.4645975417
149	0.4645975391
150	0.4645726448
151	0.4645625999
152	0.4644590075
153	0.4644590064
154	0.4644590054
155	0.4644255617
156	0.4643306424
157	0.4641262379
158	0.464126222
159	0.4639555757
