iter	Logloss
0	0.6696651661
1	0.6496901081
2	0.6363298821
3	0.6254990026
4	0.6096274862
5	0.5983881429
6	0.5890831642
7	0.577956605
8	0.5671945628
9	0.5581182856
10	0.551306574
11	0.543646355
12	0.5373363626
13	0.5320264929
14	0.525458316
15	0.5219290386
16	0.5187939667
17	0.5146494545
18	0.5098118983
19	0.5050885234
20	0.5019271732
21	0.4985380044
22	0.4958067459
23	0.4933456927
24	0.4905339364
25	0.4882576457
26	0.4859685722
27	0.4834867661
28	0.4815542029
29	0.4798728018
30	0.4793728137
31	0.47729561
32	0.4757286771
33	0.4739185368
34	0.4724266231
35	0.4709068748
36	0.4691076983
37	0.4679212775
38	0.4671841213
39	0.4662896005
40	0.4648274088
41	0.4635637092
42	0.4625970516
43	0.4619629516
44	0.4609344509
45	0.4603756206
46	0.4599096977
47	0.4588808504
48	0.4580411673
49	0.457335811
50	0.4572566401
51	0.4563847198
52	0.4556589536
53	0.4556156185
54	0.4554798657
55	0.4544873466
56	0.4538887002
57	0.4530007026
58	0.4524561993
59	0.452056985
60	0.4512154718
61	0.4509198419
62	0.4502333565
63	0.449451004
64	0.4490864478
65	0.4480599921
66	0.4474740003
67	0.4470440784
68	0.4466500081
69	0.4460704195
70	0.4454395343
71	0.4449058798
72	0.4449016628
73	0.444901658
74	0.4446092526
75	0.4442879466
76	0.4439511829
77	0.4438425773
78	0.4434965177
79	0.4432546153
80	0.4426469151
81	0.4425638562
82	0.4423650406
83	0.4421771787
84	0.442139051
85	0.4418130821
86	0.4413092653
87	0.4411558817
88	0.440769192
89	0.4406537584
90	0.440369763
91	0.4399799125
92	0.4392283882
93	0.4391126783
94	0.4390074262
95	0.4383441026
96	0.4381950138
97	0.4381683412
98	0.4377223428
99	0.4372898833
100	0.4371885145
101	0.4371430372
102	0.4371429582
103	0.437020534
104	0.4370083269
105	0.4368180795
106	0.4367759293
107	0.4364832494
108	0.4363801877
109	0.4361521162
110	0.435924048
111	0.4359165049
112	0.4354709882
113	0.4349033447
114	0.4349033111
115	0.4348723518
116	0.4348627599
117	0.4348340566
118	0.4346400316
119	0.4341456134
120	0.4338651927
121	0.4335882904
122	0.4335710212
123	0.4334255512
124	0.4334203208
125	0.4331744515
126	0.433072192
127	0.4328775834
128	0.4327661324
129	0.4324895156
130	0.4321519606
131	0.4319313211
132	0.4318616613
133	0.4318616583
134	0.4314718867
135	0.4312940095
136	0.4310414891
137	0.4306659155
138	0.4304589823
139	0.4296094343
140	0.4295413515
141	0.4294986008
142	0.4292698464
143	0.429188236
144	0.4288318378
145	0.4282221597
146	0.4281111598
147	0.4280707662
148	0.4280229608
149	0.427888049
150	0.4276359904
151	0.4272216999
152	0.4271811791
153	0.4268004425
154	0.4265669316
155	0.4259678274
156	0.4258153369
157	0.4257538059
158	0.4257155964
159	0.4252272509
160	0.4244630935
161	0.4240294338
162	0.4236898416
163	0.4236379896
164	0.423276802
165	0.4231068558
166	0.423080596
167	0.4226596536
168	0.4225548937
169	0.4220441623
170	0.4216168937
171	0.4214310487
172	0.421401387
173	0.4212400945
174	0.4210189599
175	0.4210154574
176	0.4208026919
177	0.4204680958
178	0.4204473923
179	0.4202773482
180	0.4198325782
181	0.419655279
182	0.4196132068
183	0.4192842217
184	0.419039979
185	0.4189056446
186	0.4186003405
187	0.4184370899
188	0.4180626393
189	0.4179222499
190	0.4176931351
191	0.4175527814
192	0.4174636221
193	0.4172696742
194	0.41655651
195	0.4163865549
196	0.4160532829
197	0.4159911284
198	0.4156848733
199	0.415257192
200	0.4151135136
201	0.4147677684
202	0.4145466339
203	0.4142697894
204	0.4141487349
205	0.4136894938
206	0.413457119
207	0.4132478765
208	0.4129100878
209	0.4126847462
210	0.4123804663
211	0.4122473859
212	0.4121330754
213	0.4115647715
214	0.4111870501
215	0.4109987319
216	0.4109981231
217	0.4106090667
218	0.4103977932
219	0.4097363325
220	0.4092770763
221	0.4085972162
222	0.4081649681
223	0.4079608089
224	0.4076747867
225	0.4068583879
226	0.4064285788
227	0.4062964674
228	0.4059558219
229	0.4057385805
230	0.405636749
231	0.4054838363
232	0.4052984149
233	0.4050425104
234	0.4048925143
235	0.40467503
236	0.4045522874
237	0.4042672581
238	0.4040295595
239	0.4037821599
240	0.4036120359
241	0.4033286137
242	0.4031252747
243	0.4025944577
244	0.4024631021
245	0.4021867254
246	0.4019352252
247	0.4017811509
248	0.4015068415
249	0.4011745284
250	0.4007142915
251	0.4003020738
252	0.40014865
253	0.3997448589
254	0.3994627884
255	0.3991138641
256	0.3987382008
257	0.3985419687
258	0.3978165588
259	0.397453572
260	0.3971414204
261	0.3969621469
262	0.3968890759
263	0.3967451089
264	0.3964182829
265	0.3960201068
266	0.3958621025
267	0.3957434745
268	0.3956865247
269	0.3954645896
270	0.3952430918
271	0.3947819851
272	0.3944755109
273	0.3943171335
274	0.3940107369
275	0.393741055
276	0.3932189497
277	0.3930223184
278	0.3927391098
279	0.3924598838
280	0.3923374412
281	0.3918096352
282	0.3917331051
283	0.3915855606
284	0.3915119696
285	0.3912073987
286	0.3909558298
287	0.3904698996
288	0.3902828583
289	0.3902306779
290	0.3901149198
291	0.3898835983
292	0.3896660377
293	0.3893208148
294	0.3891083468
295	0.3889845231
296	0.3889333834
297	0.3885722932
298	0.3883851865
299	0.3880999653
300	0.3879147993
301	0.3876804096
302	0.3875707052
303	0.3871882617
304	0.3868323688
305	0.3867188374
306	0.3866839518
307	0.3865175919
308	0.3862242181
309	0.3861194009
310	0.3859842445
311	0.3858137479
312	0.3856816458
313	0.3855380416
314	0.3853053635
315	0.3852343369
316	0.3849725882
317	0.3847927974
318	0.3846524029
319	0.3844465045
320	0.3842355
321	0.3840194665
322	0.3834451429
323	0.383380711
324	0.3831771121
325	0.3829184285
326	0.3824631999
327	0.3820223232
328	0.3815796382
329	0.3813360522
330	0.3811604264
331	0.380962572
332	0.3807812614
333	0.3805259549
334	0.3802762524
335	0.380074655
336	0.3799920877
337	0.3796981421
338	0.3795269733
339	0.3794108118
340	0.3791049116
341	0.3790292849
342	0.378821822
343	0.3786128468
344	0.3783359042
345	0.3780042448
346	0.3778114984
347	0.3776877092
348	0.3775958003
349	0.3773263493
350	0.3771866216
351	0.3769589427
352	0.3768382349
353	0.3764770321
354	0.376239953
355	0.3761069582
356	0.3759547631
357	0.3757506903
358	0.375478299
359	0.3753303787
360	0.3751837036
361	0.3749732726
362	0.3748017416
363	0.3746549713
364	0.3745465308
365	0.3742949747
366	0.3741400137
367	0.3739359811
368	0.3737707191
369	0.3735917514
370	0.3733579263
371	0.3729698868
372	0.3727726216
373	0.3725271406
374	0.3723300734
375	0.3721226459
376	0.3718390571
377	0.3716756034
378	0.3713255753
379	0.3710677278
380	0.3707877028
381	0.3704786607
382	0.3702246681
383	0.3700308606
384	0.3698601555
385	0.3697540748
386	0.3695946894
387	0.3695383101
388	0.3691996609
389	0.3689355799
390	0.3687351888
391	0.36853951
392	0.3682162114
393	0.3679924712
394	0.3677353081
395	0.3675144461
396	0.3673345746
397	0.3670204749
398	0.3668134292
399	0.3667125572
400	0.3665258789
401	0.3663988267
402	0.3661169762
403	0.3660179534
404	0.3655951594
405	0.3654686547
406	0.3653064917
407	0.3650839518
408	0.365030149
409	0.3649690501
410	0.3648390163
411	0.364683591
412	0.3645480453
413	0.3642466216
414	0.3641237576
415	0.3639164559
416	0.3638206737
417	0.3637824328
418	0.3635569076
419	0.3633584622
420	0.3630961655
421	0.3626392147
422	0.362429243
423	0.3622576841
424	0.3619583216
425	0.361809157
426	0.3615415326
427	0.3612318699
428	0.3610231374
429	0.3607269042
430	0.3605573138
431	0.3602693988
432	0.3601268716
433	0.3600913372
434	0.3599796461
435	0.3598761331
436	0.3596645253
437	0.3594754402
438	0.3593901208
439	0.3592969982
440	0.3590753107
441	0.3587923624
442	0.3586515993
443	0.3584766336
444	0.3584271459
445	0.3581573854
446	0.358020436
447	0.3577874372
448	0.3576448447
449	0.3574630435
450	0.3573725221
451	0.3572771828
452	0.3570445412
453	0.3569486791
454	0.3568177153
455	0.3566063823
456	0.3565101392
457	0.3562700328
458	0.3560810835
459	0.3558359813
460	0.3556257664
461	0.3554599865
462	0.3553915581
463	0.3551451545
464	0.3549070669
465	0.3547176112
466	0.3545294877
467	0.3541813792
468	0.3540018712
469	0.3539149254
470	0.3538486012
471	0.3535841441
472	0.3534528676
473	0.3532417119
474	0.3529557753
475	0.3528663833
476	0.3527705727
477	0.3524644021
478	0.3522438124
479	0.3521594224
480	0.3518877597
481	0.3517508001
482	0.3517078702
483	0.3515724224
484	0.3515270737
485	0.3513083123
486	0.3509304128
487	0.3507475784
488	0.3506470806
489	0.3505656699
490	0.3503731626
491	0.3500213579
492	0.3498851953
493	0.3496424578
494	0.3495102136
495	0.3494302496
496	0.349224887
497	0.3491175806
498	0.3489594821
499	0.3488399874
500	0.3488169539
501	0.3487371308
502	0.348601113
503	0.3484905806
504	0.3484213966
505	0.348366694
506	0.348250032
507	0.348216535
508	0.347840743
509	0.3476728078
510	0.3475212345
511	0.3472437755
512	0.3471488354
513	0.3469683211
514	0.3469436158
515	0.3465758216
516	0.3462951989
517	0.3461383139
518	0.3459969782
519	0.3458828414
520	0.3457361231
521	0.3455694481
522	0.3453375684
523	0.345214007
524	0.3446046803
525	0.344549917
526	0.3442170556
527	0.3441165048
528	0.3439904349
529	0.3436684349
530	0.3432540497
531	0.3431451915
532	0.3429447725
533	0.3428219184
534	0.3426776083
535	0.3425999818
536	0.3422664899
537	0.3420796548
538	0.3419318066
539	0.3418506569
540	0.3417711586
541	0.3415861331
542	0.3414190681
543	0.3413290184
544	0.341144258
545	0.3410708791
546	0.3409782144
547	0.3408134776
548	0.3404515268
549	0.3403240902
550	0.340147081
551	0.3401065609
552	0.3400026933
553	0.339807654
554	0.3397026776
555	0.3394792242
556	0.3393883303
557	0.3392317974
558	0.3389566451
559	0.3387018137
560	0.3386287801
561	0.3385580197
562	0.3384654785
563	0.3384038692
564	0.3380604281
565	0.3378756238
566	0.337762949
567	0.3375128028
568	0.3372778346
569	0.3372334036
570	0.3371348674
571	0.3367941781
572	0.3366261891
573	0.3363174409
574	0.3361942822
575	0.3360993777
576	0.3359202014
577	0.3357464539
578	0.3356192662
579	0.3356074279
580	0.3355267024
581	0.3354323562
582	0.3353678722
583	0.3351219404
584	0.3347814678
585	0.3344961721
586	0.334184726
