iter	Passed	Remaining
0	28	28322
1	63	31477
2	83	27684
3	96	24108
4	126	25243
5	145	24110
6	160	22828
7	192	23884
8	222	24508
9	256	25417
10	281	25352
11	304	25081
12	319	24276
13	342	24100
14	366	24073
15	377	23197
16	399	23097
17	412	22515
18	433	22373
19	453	22243
20	475	22168
21	497	22125
22	518	22024
23	542	22047
24	565	22038
25	586	21963
26	608	21937
27	628	21807
28	650	21788
29	671	21717
30	679	21254
31	701	21220
32	721	21145
33	744	21152
34	764	21086
35	785	21046
36	809	21066
37	829	21004
38	848	20897
39	868	20852
40	891	20860
41	914	20861
42	930	20713
43	950	20658
44	971	20607
45	997	20694
46	1016	20615
47	1036	20556
48	1059	20556
49	1082	20574
50	1088	20250
51	1111	20270
52	1128	20163
53	1137	19934
54	1145	19687
55	1171	19740
56	1192	19735
57	1218	19797
58	1248	19909
59	1273	19945
60	1291	19885
61	1306	19758
62	1331	19798
63	1353	19801
64	1374	19767
65	1397	19769
66	1422	19803
67	1440	19748
68	1459	19695
69	1481	19686
70	1507	19725
71	1529	19713
72	1538	19541
73	1542	19304
74	1562	19275
75	1583	19251
76	1602	19212
77	1625	19219
78	1651	19254
79	1672	19230
80	1691	19186
81	1710	19145
82	1735	19177
83	1755	19138
84	1764	18991
85	1781	18935
86	1810	19004
87	1836	19036
88	1895	19402
89	1918	19397
90	1952	19503
91	1967	19423
92	1995	19460
93	2012	19399
94	2027	19318
95	2047	19277
96	2063	19208
97	2074	19097
98	2100	19115
99	2117	19057
100	2143	19075
101	2154	18964
102	2160	18819
103	2173	18725
104	2187	18647
105	2206	18608
106	2221	18539
107	2242	18524
108	2259	18472
109	2283	18474
110	2304	18454
111	2314	18352
112	2334	18328
113	2353	18293
114	2360	18166
115	2369	18057
116	2382	17981
117	2406	17990
118	2425	17956
119	2446	17939
120	2469	17936
121	2486	17897
122	2498	17816
123	2518	17794
124	2530	17710
125	2548	17680
126	2570	17671
127	2584	17606
128	2604	17582
129	2620	17538
130	2641	17521
131	2660	17493
132	2676	17446
133	2683	17341
134	2703	17320
135	2720	17284
136	2740	17262
137	2762	17254
138	2786	17260
139	2806	17238
140	2821	17187
141	2835	17134
142	2853	17098
143	2872	17073
144	2893	17064
145	2914	17047
146	2944	17088
147	2976	17136
148	2987	17063
149	3025	17143
150	3058	17196
151	3082	17198
152	3107	17202
153	3133	17215
154	3159	17222
155	3183	17223
156	3200	17183
157	3213	17125
158	3221	17040
159	3241	17018
160	3265	17015
161	3286	17002
162	3312	17007
163	3333	16994
164	3356	16983
165	3375	16960
166	3388	16899
167	3406	16871
168	3428	16859
169	3449	16840
170	3472	16836
171	3489	16796
172	3500	16735
173	3526	16742
174	3549	16732
175	3558	16658
176	3585	16670
177	3609	16666
178	3632	16659
179	3657	16663
180	3679	16651
181	3701	16636
182	3717	16598
183	3743	16602
184	3761	16571
185	3783	16558
186	3806	16548
187	3825	16520
188	3850	16521
189	3869	16494
190	3890	16480
191	3913	16470
192	3937	16461
193	3955	16435
194	3988	16466
195	4011	16455
196	4034	16443
197	4048	16396
198	4071	16387
199	4095	16381
200	4112	16346
201	4136	16339
202	4157	16321
203	4180	16314
204	4197	16278
205	4220	16267
206	4240	16244
207	4254	16200
208	4276	16186
209	4301	16181
210	4324	16169
211	4343	16143
212	4365	16129
213	4387	16115
214	4406	16090
215	4429	16077
216	4439	16019
217	4465	16018
218	4490	16012
219	4511	15993
220	4534	15984
221	4558	15975
222	4581	15963
223	4600	15936
224	4621	15918
225	4643	15903
226	4668	15897
227	4688	15875
228	4713	15869
