iter	Logloss
0	0.6723038491
1	0.6504790906
2	0.6357852393
3	0.6196580361
4	0.6054546698
5	0.5946529969
6	0.5821206843
7	0.571404087
8	0.563857234
9	0.5560425766
10	0.5475340877
11	0.5395634529
12	0.5333074663
13	0.5270891985
14	0.5210035065
15	0.517561288
16	0.5153585767
17	0.5127684828
18	0.5087385942
19	0.5051572131
20	0.5015033061
21	0.4990962883
22	0.4967994295
23	0.4939002262
24	0.4915325305
25	0.4898124526
26	0.4873887335
27	0.4864310136
28	0.4841898432
29	0.4819602102
30	0.4797261864
31	0.4777375547
32	0.476889247
33	0.4756281655
34	0.4737352973
35	0.4725946946
36	0.4721077198
37	0.4707349208
38	0.4697819583
39	0.4683644243
40	0.4672916424
41	0.467047878
42	0.4663418865
43	0.4656183278
44	0.4655044084
45	0.465292822
46	0.4642348201
47	0.463385719
48	0.4630790252
49	0.4629906763
50	0.4618924584
51	0.4616171744
52	0.4611655204
53	0.4604392502
54	0.4598409201
55	0.4597269964
56	0.458767507
57	0.4581312612
58	0.4572018531
59	0.4568409336
60	0.4566640845
61	0.4562691601
62	0.456032466
63	0.455625195
64	0.4549181688
65	0.4542388824
66	0.4541481074
67	0.4537444311
68	0.4537058939
69	0.4533339219
70	0.4530123039
71	0.452797346
72	0.452511855
73	0.4521516006
74	0.4520577279
75	0.4519022764
76	0.4518363904
77	0.4514769339
78	0.4510011602
79	0.4506831789
80	0.4503545972
81	0.4502506722
82	0.4501045548
83	0.4492595778
84	0.4491860372
85	0.4491675244
86	0.4488372875
87	0.4487016
88	0.448630446
89	0.4486304458
90	0.4483358713
91	0.448051054
92	0.4478462921
93	0.4477900436
94	0.4477201349
95	0.447524283
96	0.4471125531
97	0.4470906292
98	0.4467546899
99	0.4462212808
100	0.4460672825
101	0.4458575367
102	0.4455217967
103	0.4451933031
104	0.4449514198
105	0.4446331313
106	0.4444604359
107	0.4440700087
108	0.4438905678
109	0.44373646
110	0.4437352778
111	0.4435946177
112	0.4432942123
113	0.4432931293
114	0.4432272515
115	0.4432128758
116	0.4428683183
117	0.4427399199
118	0.4427063368
119	0.4425106887
120	0.4421176168
121	0.4419057376
122	0.4418098837
123	0.4414338287
124	0.4413505633
125	0.4413430005
126	0.4411540617
127	0.4408836038
128	0.4407805549
129	0.440769297
130	0.4407272548
131	0.4405533573
132	0.4400909853
133	0.4398242459
134	0.4395770834
135	0.4395354749
136	0.4395354736
137	0.4393035751
138	0.4392598222
139	0.4391624391
140	0.439124443
141	0.4390095052
142	0.4384888436
143	0.4381673464
144	0.4378985933
145	0.4377644007
146	0.4375471859
147	0.43738751
148	0.4370422252
149	0.4367214375
150	0.4366756008
151	0.4366755909
152	0.436485237
153	0.436287123
154	0.4362529432
155	0.436074878
156	0.4360748494
157	0.4358618733
158	0.4358227528
159	0.435800262
160	0.4356880462
161	0.4354640729
162	0.4354054773
163	0.4349992677
164	0.4348154035
165	0.4345552674
166	0.4345552406
167	0.4344532991
168	0.4344020603
169	0.4342133546
170	0.4340548567
171	0.4338748966
172	0.4333922096
173	0.4333145958
174	0.433314582
175	0.4331835847
176	0.4326118261
177	0.4323892593
178	0.432389257
179	0.4320400973
180	0.4320169128
181	0.4318563272
182	0.4316057603
183	0.4315971197
184	0.4313565298
185	0.4311210193
186	0.4308650949
187	0.4306393696
188	0.4302700559
189	0.4296656961
190	0.4291912989
191	0.4287816027
192	0.4287801883
193	0.4285632669
194	0.4282986436
195	0.4280121701
196	0.4278064572
197	0.4277120814
198	0.4273288064
199	0.4271899872
200	0.4269303517
201	0.4265340232
202	0.4263918899
203	0.4262024727
204	0.4259490896
205	0.4257896539
206	0.4256432921
207	0.4254348522
208	0.4252069143
209	0.4249207921
210	0.4247900465
211	0.4245885524
212	0.4241157675
213	0.423749
214	0.4233108578
215	0.4230774217
216	0.4227910903
217	0.4225724189
218	0.4223612231
219	0.4220615261
220	0.4218875026
221	0.421501925
222	0.4213662234
223	0.4210309828
224	0.4208584903
225	0.4204824224
226	0.4199806085
227	0.4198955697
228	0.4197185437
229	0.4194503956
230	0.4192705867
231	0.4190147486
232	0.4187509792
233	0.4185318264
234	0.4182685492
235	0.4179910889
236	0.4178734811
237	0.4177616252
238	0.4174521428
239	0.417308739
240	0.4170967335
241	0.4170207055
242	0.4168416051
243	0.4166310694
244	0.4163844213
245	0.4159152594
246	0.415877369
247	0.4156849422
248	0.4154769601
249	0.4152314136
250	0.4150573498
251	0.4149689684
252	0.4148340718
253	0.4145563603
254	0.414058559
255	0.4139980217
256	0.4137709623
257	0.4135363363
258	0.413354511
259	0.4131014683
260	0.4129970162
261	0.4128577194
262	0.4127186549
263	0.4125090414
264	0.4122674663
265	0.4122238224
266	0.4119240959
267	0.4117042179
268	0.4115248273
269	0.4112985679
270	0.4110702414
271	0.4108230454
272	0.4105477
273	0.4103515167
274	0.4100622364
275	0.4098645695
276	0.4097748874
277	0.4095634044
278	0.409297178
279	0.4090696293
280	0.4090103529
281	0.408989703
282	0.4087462183
283	0.4085828508
284	0.4084452754
285	0.4083325472
286	0.408097223
287	0.4078174631
288	0.4078051318
289	0.407383368
290	0.4071956566
291	0.4070111496
292	0.4067444817
293	0.4065288318
294	0.4064439781
295	0.4061348303
296	0.4059939051
297	0.405776683
298	0.4055647504
299	0.4054789839
300	0.4053026568
301	0.4052267637
302	0.4049245589
303	0.4047180041
304	0.4044782049
305	0.4042409939
306	0.4038669443
307	0.4037607426
308	0.4034724903
309	0.4032835917
310	0.4031095481
311	0.4027182661
312	0.4025826588
313	0.4022974828
314	0.4019411886
315	0.4018223562
316	0.4017022688
317	0.4013123926
318	0.4011229651
319	0.4010566068
320	0.4010191794
321	0.4008513874
322	0.400733857
323	0.4003436687
324	0.4001768099
325	0.4001019456
326	0.3999551573
327	0.3997975384
328	0.399627889
329	0.3994659849
330	0.3992742623
331	0.3990144171
332	0.3988451998
333	0.3985733437
334	0.3983290257
335	0.3981990182
336	0.3980284624
337	0.3979368187
338	0.3978610342
339	0.3974260038
340	0.3973126617
341	0.3972095911
342	0.3970659017
343	0.3968984602
344	0.3968497797
345	0.3967301808
346	0.3963845205
347	0.3962151167
348	0.3960852792
349	0.3959418242
350	0.3956222261
351	0.3955571765
352	0.3953840166
353	0.395273358
354	0.3951120749
355	0.3949248797
356	0.3947628597
357	0.3944122946
358	0.394298203
359	0.3939811089
360	0.3938893573
361	0.3937490955
362	0.3936264805
363	0.3935445606
364	0.3934936786
365	0.3933306571
366	0.3932103147
367	0.3930159263
368	0.3928144048
369	0.3926080609
370	0.3924201109
371	0.3921456265
372	0.3917406673
373	0.3916673047
374	0.3915176088
375	0.3912075921
376	0.3909056375
377	0.3905502202
378	0.3903505609
379	0.390121716
380	0.389845636
381	0.3895941353
382	0.3894432627
383	0.3892852173
384	0.3890530432
385	0.38893003
386	0.3886663443
387	0.3885946394
388	0.3882475336
389	0.3880871015
390	0.3877842032
391	0.3875411424
392	0.3874259842
393	0.3872671406
394	0.3869200438
395	0.3867494615
396	0.3866425277
397	0.3864291136
398	0.3863998909
399	0.3862310757
400	0.3861291781
401	0.3859875481
402	0.3857181581
403	0.3855236483
404	0.385334359
405	0.3851736807
406	0.3849448759
407	0.3847879645
408	0.3846934912
409	0.3846165098
410	0.3843335424
411	0.3841697947
