iter	Passed	Remaining
0	29	29006
1	60	30132
2	77	25845
3	97	24372
4	123	24538
5	136	22576
6	158	22426
7	175	21752
8	188	20809
9	207	20521
10	231	20782
11	252	20775
12	273	20777
13	296	20904
14	323	21262
15	339	20877
16	349	20225
17	362	19781
18	387	20006
19	411	20164
20	433	20201
21	454	20190
22	468	19917
23	493	20053
24	516	20138
25	534	20032
26	557	20082
27	572	19859
28	594	19893
29	645	20855
30	676	21144
31	698	21143
32	714	20938
33	735	20910
34	757	20893
35	780	20891
36	796	20734
37	816	20673
38	843	20772
39	868	20839
40	889	20802
41	905	20645
42	932	20758
43	957	20796
44	967	20528
45	976	20258
46	995	20187
47	1018	20203
48	1030	19999
49	1037	19712
50	1061	19749
51	1070	19522
52	1092	19520
53	1116	19556
54	1130	19429
55	1143	19281
56	1165	19280
57	1187	19284
58	1209	19290
59	1233	19321
60	1246	19185
61	1265	19142
62	1279	19034
63	1301	19028
64	1325	19068
65	1356	19192
66	1375	19153
67	1399	19178
68	1409	19023
69	1430	18998
70	1454	19035
71	1475	19019
72	1504	19103
73	1530	19148
74	1541	19011
75	1563	19009
76	1574	18878
77	1599	18907
78	1639	19118
79	1678	19304
80	1708	19379
81	1732	19395
82	1752	19361
83	1778	19395
84	1795	19328
85	1805	19187
86	1829	19202
87	1852	19197
88	1864	19083
89	1870	18908
90	1896	18945
91	1920	18951
92	1944	18964
93	1962	18913
94	1981	18876
95	2003	18864
96	2028	18883
97	2041	18790
98	2067	18811
99	2095	18859
100	2118	18855
101	2142	18861
102	2166	18869
103	2192	18885
104	2218	18906
105	2240	18893
106	2265	18908
107	2290	18920
108	2315	18924
109	2335	18899
110	2347	18797
111	2368	18777
112	2390	18764
113	2398	18640
114	2416	18596
115	2435	18557
116	2454	18525
117	2476	18510
118	2503	18532
119	2528	18544
120	2551	18531
121	2576	18540
122	2601	18548
123	2623	18536
124	2670	18692
125	2691	18666
126	2717	18680
127	2740	18666
128	2765	18675
129	2782	18622
130	2788	18496
131	2806	18455
132	2830	18453
133	2866	18524
134	2900	18585
135	2917	18535
136	2924	18421
137	2953	18445
138	2989	18515
139	3047	18720
140	3074	18732
141	3115	18825
142	3142	18835
143	3169	18841
144	3198	18860
145	3226	18872
146	3251	18865
147	3277	18869
148	3299	18843
149	3324	18841
150	3346	18814
151	3352	18702
152	3377	18696
153	3399	18673
154	3422	18658
155	3442	18622
156	3450	18528
157	3480	18549
158	3509	18562
159	3527	18517
160	3546	18483
161	3572	18481
162	3596	18466
163	3622	18465
164	3643	18438
165	3675	18468
166	3692	18419
167	3709	18369
168	3737	18377
169	3761	18365
170	3788	18365
171	3811	18350
172	3834	18330
173	3857	18309
174	3867	18234
175	3893	18229
176	3922	18240
177	3949	18237
178	3961	18172
179	3986	18160
180	4007	18132
181	4032	18125
182	4057	18112
183	4075	18072
184	4100	18064
185	4127	18061
186	4149	18042
187	4172	18021
188	4195	18002
189	4221	17997
190	4246	17987
191	4267	17958
192	4278	17891
193	4301	17871
194	4326	17862
195	4345	17824
196	4367	17803
197	4390	17782
198	4417	17779
199	4438	17754
200	4462	17739
201	4488	17731
202	4510	17708
203	4536	17700
204	4558	17679
205	4583	17666
206	4608	17653
207	4627	17621
208	4653	17611
209	4692	17652
210	4732	17696
211	4764	17710
212	4788	17693
213	4817	17695
214	4848	17702
215	4882	17720
216	4914	17732
217	4951	17760
218	4976	17745
219	4999	17724
220	5026	17717
221	5051	17702
222	5072	17674
223	5092	17641
224	5112	17609
225	5143	17615
226	5169	17603
227	5191	17578
228	5213	17554
229	5241	17548
230	5271	17548
231	5306	17565
232	5340	17579
233	5371	17584
234	5406	17598
235	5431	17583
236	5460	17579
237	5485	17563
238	5510	17545
239	5533	17523
240	5556	17500
241	5591	17513
242	5621	17512
