iter	Passed	Remaining
0	9	9814
1	27	13695
2	40	13356
3	47	11720
4	56	11303
5	66	11020
6	76	10812
7	86	10768
8	94	10411
9	103	10254
10	111	10003
11	119	9813
12	125	9533
13	135	9519
14	138	9126
15	149	9171
16	153	8884
17	160	8773
18	168	8699
19	179	8795
20	186	8711
21	196	8744
22	204	8704
23	210	8550
24	220	8581
25	230	8644
26	240	8684
27	248	8617
28	251	8426
29	261	8455
30	270	8448
31	279	8452
32	286	8396
33	295	8404
34	303	8358
35	311	8337
36	319	8307
37	330	8367
38	337	8318
39	344	8257
40	351	8213
41	360	8223
42	370	8250
43	381	8287
44	394	8380
45	401	8335
46	413	8380
47	422	8382
48	433	8405
49	445	8457
50	453	8441
51	463	8454
52	473	8458
53	480	8421
54	490	8421
55	496	8374
56	504	8349
57	512	8326
58	520	8304
59	527	8271
60	535	8248
61	544	8237
62	552	8221
63	561	8208
64	569	8185
65	575	8148
66	585	8155
67	590	8088
68	595	8028
69	605	8041
70	613	8025
71	622	8021
72	630	8012
73	640	8012
74	648	7993
75	656	7980
76	660	7922
77	666	7884
78	672	7842
79	676	7783
80	685	7778
81	693	7766
82	706	7806
83	713	7781
84	723	7789
85	727	7734
86	737	7735
87	745	7726
88	758	7767
89	771	7801
90	780	7797
91	790	7801
92	803	7833
93	810	7809
94	823	7847
95	831	7832
96	841	7833
97	853	7857
98	862	7850
99	869	7824
100	879	7831
101	887	7812
102	891	7766
103	898	7741
104	902	7692
105	907	7655
106	916	7645
107	923	7626
108	931	7616
109	939	7605
110	949	7603
111	956	7586
112	961	7550
113	969	7534
114	976	7518
115	984	7500
116	994	7503
117	1002	7493
118	1007	7459
119	1015	7447
120	1023	7438
121	1031	7426
122	1041	7425
123	1048	7409
124	1051	7362
125	1055	7319
126	1064	7316
127	1072	7305
128	1079	7291
129	1087	7277
130	1096	7274
131	1103	7259
132	1114	7264
133	1124	7265
134	1132	7257
135	1141	7253
136	1149	7241
137	1163	7266
138	1172	7260
139	1179	7247
140	1191	7259
141	1200	7253
142	1210	7251
143	1227	7298
144	1232	7268
145	1244	7279
146	1254	7276
147	1261	7260
148	1268	7247
149	1279	7247
150	1288	7244
151	1296	7231
152	1305	7228
153	1313	7216
154	1323	7215
155	1331	7201
156	1341	7203
157	1349	7189
158	1357	7181
159	1365	7166
160	1369	7135
161	1376	7122
162	1383	7102
163	1393	7104
164	1403	7102
165	1409	7079
166	1418	7076
167	1426	7064
168	1436	7064
169	1444	7053
170	1451	7035
171	1458	7023
172	1468	7020
173	1475	7006
174	1486	7008
175	1498	7016
176	1508	7014
177	1510	6975
178	1521	6977
179	1534	6990
180	1542	6977
181	1552	6978
182	1560	6967
183	1570	6963
184	1577	6951
185	1582	6927
186	1594	6933
187	1608	6947
188	1617	6942
189	1626	6935
190	1636	6930
191	1643	6916
192	1651	6905
193	1657	6887
194	1667	6881
195	1675	6872
196	1684	6867
197	1690	6845
198	1694	6819
199	1701	6807
200	1711	6802
201	1719	6792
202	1729	6791
203	1738	6782
204	1744	6764
205	1752	6754
206	1761	6749
207	1770	6740
208	1780	6739
209	1788	6728
210	1797	6722
211	1806	6712
212	1816	6712
213	1825	6706
214	1834	6696
215	1843	6689
216	1850	6676
217	1859	6669
218	1863	6645
219	1865	6613
220	1873	6603
221	1881	6593
222	1889	6582
223	1897	6572
224	1905	6562
225	1915	6559
226	1925	6557
227	1933	6548
228	1942	6540
229	1949	6527
230	1959	6522
231	1961	6491
232	1968	6480
233	1976	6470
234	1981	6449
235	1990	6445
236	1998	6433
237	2008	6429
238	2011	6403
239	2017	6387
240	2028	6390
241	2036	6378
242	2044	6369
243	2053	6363
244	2062	6355
245	2071	6350
246	2079	6339
247	2089	6335
248	2096	6324
249	2105	6316
250	2113	6307
251	2118	6288
252	2127	6281
253	2137	6278
254	2144	6266
255	2151	6253
256	2154	6229
257	2162	6219
258	2171	6213
259	2178	6201
260	2181	6175
261	2190	6171
262	2200	6167
263	2211	6165
264	2222	6163
265	2232	6160
266	2244	6161
267	2248	6140
268	2251	6117
269	2258	6106
270	2267	6100
271	2275	6089
272	2278	6068
273	2288	6062
274	2296	6053
275	2304	6045
276	2309	6027
277	2318	6020
278	2326	6012
279	2336	6007
280	2344	5998
281	2353	5991
282	2361	5982
283	2370	5975
284	2377	5965
285	2385	5955
286	2389	5936
287	2400	5933
288	2408	5925
289	2414	5910
290	2421	5900
291	2430	5893
292	2439	5885
293	2448	5879
294	2457	5873
295	2466	5866
296	2475	5860
297	2484	5853
298	2492	5844
299	2498	5830
300	2502	5812
301	2505	5791
302	2514	5784
303	2522	5774
304	2530	5767
305	2538	5758
306	2543	5742
307	2555	5740
308	2568	5743
309	2580	5743
310	2587	5731
311	2602	5738
312	2612	5734
313	2620	5724
314	2630	5720
315	2637	5709
316	2647	5704
317	2656	5697
318	2672	5704
319	2679	5694
320	2688	5686
321	2698	5682
322	2704	5668
323	2712	5659
324	2721	5652
325	2732	5650
326	2744	5649
327	2760	5655
328	2767	5643
329	2779	5643
330	2788	5636
331	2796	5627
332	2806	5621
333	2816	5615
334	2819	5597
335	2824	5582
336	2827	5563
337	2837	5556
338	2839	5536
339	2848	5530
340	2858	5524
341	2863	5509
342	2868	5494
343	2871	5475
344	2878	5465
345	2883	5450
346	2891	5441
347	2899	5432
348	2907	5423
349	2915	5414
350	2919	5398
351	2927	5390
352	2937	5383
353	2944	5374
354	2947	5355
355	2952	5340
356	2954	5320
357	2963	5313
358	2967	5298
359	2976	5291
360	2985	5283
361	2993	5275
362	3002	5268
363	3007	5254
364	3015	5246
365	3022	5236
366	3032	5230
367	3039	5220
368	3043	5203
369	3052	5197
370	3055	5180
371	3065	5174
372	3074	5168
373	3085	5164
374	3092	5154
375	3102	5148
376	3105	5131
377	3115	5126
378	3123	5117
379	3132	5111
380	3140	5102
381	3150	5096
382	3157	5085
383	3159	5067
384	3167	5060
385	3169	5042
386	3179	5035
387	3189	5030
388	3199	5025
389	3208	5019
390	3218	5012
391	3226	5003
392	3236	4998
393	3247	4994
394	3255	4986
395	3265	4981
396	3275	4975
397	3286	4971
398	3296	4965
399	3305	4957
400	3315	4952
401	3324	4945
402	3332	4937
403	3340	4927
404	3348	4919
405	3356	4910
406	3365	4903
407	3380	4904
408	3389	4898
409	3400	4893
410	3410	4887
411	3418	4878
412	3429	4874
413	3441	4870
414	3448	4861
415	3459	4856
416	3475	4858
417	3478	4843
418	3487	4836
419	3501	4834
420	3512	4830
421	3521	4822
422	3527	4811
423	3529	4794
424	3539	4788
425	3546	4778
426	3555	4770
427	3563	4762
428	3573	4755
429	3580	4746
430	3591	4740
431	3600	4734
432	3610	4727
433	3618	4719
434	3625	4709
435	3633	4700
436	3642	4692
437	3658	4694
438	3667	4686
439	3677	4680
440	3680	4665
441	3691	4660
442	3701	4653
443	3709	4645
444	3719	4638
445	3727	4630
446	3736	4622
447	3745	4614
448	3755	4608
449	3765	4602
450	3773	4593
451	3783	4587
452	3791	4578
453	3800	4570
454	3809	4562
455	3819	4557
456	3827	4547
457	3836	4540
458	3845	4531
459	3854	4525
460	3863	4517
461	3871	4508
462	3880	4500
463	3888	4491
464	3897	4484
465	3907	4478
466	3917	4471
467	3925	4462
468	3935	4456
469	3944	4448
470	3953	4440
471	3962	4432
472	3969	4423
473	3977	4414
474	3986	4405
475	3995	4398
476	4005	4391
477	4015	4385
478	4023	4376
479	4032	4368
480	4040	4359
481	4049	4351
482	4057	4342
483	4067	4336
484	4075	4327
485	4084	4319
486	4093	4312
487	4100	4301
488	4107	4292
489	4119	4287
490	4129	4280
491	4137	4272
492	4147	4265
493	4155	4256
494	4164	4249
495	4172	4239
496	4180	4231
497	4188	4222
498	4197	4214
499	4206	4206
500	4216	4199
501	4224	4191
502	4233	4182
503	4242	4174
504	4253	4169
505	4264	4163
506	4273	4155
507	4281	4146
508	4290	4138
509	4298	4130
510	4309	4124
511	4318	4116
512	4328	4109
513	4337	4100
514	4345	4091
515	4354	4084
516	4362	4075
517	4371	4067
518	4379	4058
519	4388	4051
520	4396	4042
521	4405	4034
522	4413	4025
523	4424	4019
524	4432	4010
525	4441	4002
526	4449	3993
527	4458	3985
528	4465	3976
529	4475	3968
530	4483	3959
531	4492	3952
532	4501	3943
533	4509	3934
534	4517	3926
535	4526	3918
536	4534	3909
537	4542	3900
538	4550	3891
539	4558	3883
540	4567	3875
541	4575	3866
542	4584	3858
543	4591	3849
544	4600	3840
545	4608	3831
546	4617	3824
547	4625	3815
548	4635	3807
549	4644	3800
550	4655	3793
551	4664	3785
552	4671	3776
553	4680	3768
554	4689	3759
555	4697	3751
556	4705	3742
557	4715	3735
558	4723	3726
559	4733	3719
560	4742	3711
561	4753	3704
562	4762	3696
563	4771	3688
564	4780	3680
565	4788	3671
566	4799	3664
567	4806	3655
568	4815	3647
569	4823	3638
570	4832	3630
571	4840	3621
572	4850	3614
573	4858	3605
574	4868	3598
575	4876	3589
576	4884	3581
577	4893	3572
578	4902	3564
579	4911	3556
580	4919	3548
581	4929	3540
582	4936	3530
583	4945	3522
584	4953	3514
